Word,Frequency
ai,1667
system,1478
risk,776
regulation,729
article,645
eu,528
high,527
authority,521
provider,516
union,461
purpose,459
market,403
model,366
person,348
law,334
datum,334
use,314
european,286
relevant,284
provide,279
commission,278
requirement,269
information,263
body,255
general,253
national,251
oj,248
l,238
member,237
set,228
obligation,228
appropriate,223
assessment,221
service,212
council,209
ensure,209
right,207
accordance,204
conformity,193
notify,192
paragraph,185
parliament,184
surveillance,182
deployer,175
competent,166
annex,160
condition,159
eli,158
states,158
measure,157
point,154
natural,151
technical,150
place,150
compliance,150
testing,147
protection,145
particular,143
establish,143
act,143
enforcement,139
office,138
intend,137
apply,137
activity,136
necessary,135
directive,134
applicable,134
public,133
take,131
section,130
concern,128
specific,127
decision,126
procedure,124
documentation,124
request,122
biometric,121
ec,121
level,117
account,116
b,115
safety,113
mean,111
sandbox,111
list,110
pursuant,109
subject,109
product,109
rule,109
real,108
access,105
fundamental,105
state,104
regard,104
development,103
lay,101
relate,100
identification,100
personal,99
management,99
carry,98
process,96
task,96
iii,94
consider,94
case,92
practice,91
regulatory,90
application,89
order,89
training,86
c,86
impact,86
legal,86
cover,85
available,84
follow,82
chapter,81
systemic,81
implement,79
world,77
base,76
require,75
adopt,74
standard,74
comply,74
inform,73
support,73
data,73
health,72
certain,72
basis,72
human,71
identify,70
facilitate,70
affect,70
non,68
develop,67
representative,67
prejudice,66
control,66
amend,65
board,65
component,65
issue,65
institution,64
power,64
perform,64
report,64
d,64
possible,63
quality,63
harmonisation,63
result,62
implementation,61
legislation,61
code,60
time,60
objective,60
group,60
action,59
relation,59
criminal,59
operator,58
period,58
reason,57
certificate,56
fulfil,56
need,56
assess,56
harmonised,54
context,54
monitoring,54
capability,54
interest,54
way,54
output,54
conduct,53
design,52
remote,52
allow,51
cybersecurity,51
effective,51
evaluation,51
individual,51
administrative,51
prospective,51
extent,51
tool,51
agency,50
provision,50
security,50
example,49
digital,49
content,49
database,49
scope,48
fine,48
financial,47
notification,47
respect,47
cooperation,47
party,46
safeguard,46
infringement,46
effect,46
involve,46
exist,46
generate,46
authorise,46
scientific,46
framework,46
artificial,45
protect,45
intelligence,45
change,45
meet,45
publicly,45
organisation,44
present,44
processing,44
harm,43
governance,43
delay,43
number,42
notifying,42
post,42
authorisation,42
specification,41
transparency,41
subparagraph,41
accessible,41
regulations,41
common,41
view,41
sme,41
internal,40
operation,40
adequate,40
element,39
offence,39
address,39
meaning,39
year,39
performance,39
classify,38
date,38
expert,38
contain,38
e,38
repeal,37
manner,37
enable,37
characteristic,37
description,37
start,37
specify,36
significant,36
work,36
new,36
give,36
prohibit,36
integrate,35
space,35
register,35
delegate,35
declaration,35
border,35
nature,35
lead,35
obtain,34
placing,34
free,34
field,34
incident,34
source,33
thereof,33
type,33
make,33
area,33
panel,32
exception,32
detailed,32
instruction,32
able,32
evaluate,32
competence,32
contribute,31
define,31
stakeholder,31
behaviour,31
circumstance,31
behalf,31
document,31
exercise,31
standardisation,30
plan,30
freedom,30
country,30
test,30
submit,30
international,30
trade,30
innovation,30
f,29
reference,29
addition,29
august,29
large,29
contact,29
single,29
value,29
infrastructure,29
remain,28
responsibility,28
judicial,28
social,28
articles,28
designate,28
investigation,28
prevent,28
demonstrate,28
prior,28
principle,28
fall,28
physical,28
mitigate,28
g,27
foreseeable,27
term,27
critical,27
supervision,27
arrangement,27
criterion,27
agreement,27
situation,27
draw,27
far,27
outcome,27
asylum,26
good,26
designation,26
participation,26
light,25
resource,25
entity,25
participate,25
pose,25
supply,25
oversight,25
reasonably,25
undue,25
month,25
importer,25
input,25
category,25
intended,25
responsible,24
independent,24
additional,24
potential,24
decide,24
cooperate,24
understand,24
confidentiality,24
corrective,24
h,23
discrimination,23
research,23
limitation,23
adverse,23
modification,23
chain,23
solution,23
expertise,23
detail,23
directly,23
event,23
business,22
add,22
technique,22
important,22
likely,22
distributor,22
society,22
advisory,22
mandate,22
validation,22
end,22
log,22
withdraw,22
indicate,22
operational,22
prohibition,22
proportionate,22
cause,22
following,22
promote,22
putting,22
limit,22
detect,21
aim,21
amendment,21
train,21
guidance,21
put,21
benefit,21
detection,21
forum,21
open,21
course,21
text,21
life,21
encourage,21
v,21
monitor,21
making,20
technology,20
duly,20
bias,20
operate,20
supervise,20
keep,20
form,20
review,20
accuracy,20
restriction,20
publish,20
role,20
environmental,19
device,19
penalty,19
aspect,19
recommendation,19
achieve,19
ce,19
voluntary,19
mitigation,19
methodology,19
art,19
impose,19
determine,19
structure,19
june,19
annual,19
effectively,19
immediately,18
avoid,18
confirm,18
sector,18
write,18
disability,18
consumer,18
civil,18
guideline,18
robustness,18
substantial,18
complete,18
scale,18
functioning,18
function,18
supervisor,18
influence,18
key,18
essential,18
establishment,18
accompany,18
empower,18
collect,18
matter,18
property,18
fact,17
authorised,17
eec,17
image,17
day,17
defence,17
private,17
iv,17
evidence,17
environment,17
classification,17
mechanism,17
examination,17
migration,17
consult,17
notion,17
trustworthy,17
software,17
suspension,17
accord,17
knowledge,16
medical,16
emotion,16
consent,16
negative,16
copy,16
involvement,16
copyright,16
discriminatory,16
line,16
vulnerable,16
platform,16
age,16
charter,16
communication,16
continue,16
furthermore,16
infer,16
justify,16
registration,16
regardless,16
legislative,16
ii,16
raise,16
education,16
occur,16
improve,16
easily,16
misuse,15
special,15
harmonise,15
identity,15
different,15
target,15
remedy,15
degree,15
sensitive,15
economic,15
organise,15
receive,15
related,15
solely,15
reporting,15
privacy,15
limited,15
produce,15
verification,15
worker,15
sufficient,15
technological,15
official,15
long,15
restrict,15
expect,15
cost,15
online,15
commercial,15
pre,15
link,15
mark,15
bind,15
recognition,14
reduce,14
search,14
parameter,14
size,14
reflect,14
alert,14
particularly,14
